year,marital,divorce,childs,age,educ,sex,race,relig,xmovie,pornlaw,hapmar
1986,married,ds_no,0,39,16,male,black,none,x_yes,illegalillegal8,nottoohappy
1973,married,ds_no,4,43,12,female,white,catholic,x_no,illegal,nottoohappy
1973,married,ds_yes,2,34,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1994,married,ds_no,1,42,14,female,white,catholic,x_no,illegal,nottoohappy
2010,married,ds_yes,2,41,17,female,white,protestant,x_no,illegalillegal8,nottoohappy
1973,married,ds_yes,5,49,14,female,white,catholic,x_no,illegal,nottoohappy
2016,married,ds_no,2,54,12,female,black,protestant,x_no,illegal,nottoohappy
1989,married,ds_no,3,42,9,female,white,protestant,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,5,64,9,female,white,protestant,x_no,dontknow,nottoohappy
2000,married,ds_yes,0,52,16,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1989,married,ds_no,3,59,8,female,white,catholic,x_no,illegal,nottoohappy
1987,married,ds_yes,1,33,12,female,black,other,x_no,illegal,nottoohappy
2008,married,ds_yes,8,52,4,female,white,protestant,x_no,legal,nottoohappy
2006,married,ds_yes,2,43,18,female,black,protestant,x_no,illegalillegal8,nottoohappy
1991,married,ds_no,3,30,11,male,black,protestant,x_no,illegalillegal8,nottoohappy
2004,married,ds_no,3,49,11,male,white,none,x_no,illegalillegal8,nottoohappy
2018,married,ds_no,1,48,15,male,other,none,x_yes,illegalillegal8,nottoohappy
1987,married,ds_no,0,60,9,female,white,protestant,x_yes,illegal,nottoohappy
1996,married,ds_no,3,41,16,male,white,jewish,x_no,illegalillegal8,nottoohappy
1984,married,ds_yes,3,42,12,female,white,protestant,x_no,illegal,nottoohappy
1983,married,ds_yes,3,39,9,male,white,protestant,x_no,illegalillegal8,nottoohappy
2008,married,ds_no,3,41,16,female,black,protestant,x_no,illegal,nottoohappy
2016,married,ds_yes,5,31,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1975,married,ds_yes,1,24,9,male,white,protestant,x_yes,legal,nottoohappy
2016,married,ds_no,2,51,12,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1973,married,ds_no,8,65,8,female,black,protestant,x_no,illegal,nottoohappy
1998,married,ds_no,1,21,12,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1991,married,ds_yes,0,74,9,female,black,protestant,x_no,illegalillegal8,nottoohappy
2016,married,ds_yes,1,30,14,male,white,none,x_yes,illegalillegal8,nottoohappy
2008,married,ds_yes,2,57,12,female,white,protestant,x_no,illegal,nottoohappy
2014,married,ds_no,2,31,12,male,white,christian,x_no,illegalillegal8,nottoohappy
1989,married,ds_no,2,33,18,female,white,protestant,x_no,illegal,nottoohappy
1991,married,ds_no,2,38,8,female,white,catholic,x_no,illegal,nottoohappy
1973,married,ds_no,2,47,17,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1980,married,ds_no,1,25,7,female,white,protestant,x_no,illegal,nottoohappy
1991,married,ds_no,8,35,8,female,black,protestant,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,1,53,18,female,black,catholic,x_no,illegal,nottoohappy
1983,married,ds_no,1,53,16,female,white,jewish,x_no,illegalillegal8,nottoohappy
2018,married,ds_yes,0,31,12,female,black,muslim,x_yes,illegalillegal8,nottoohappy
1976,married,ds_no,5,37,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1994,married,ds_no,1,25,12,male,white,catholic,x_no,illegalillegal8,nottoohappy
2006,married,ds_yes,2,43,12,male,white,protestant,x_no,illegal,nottoohappy
1978,married,ds_no,2,69,4,male,white,protestant,x_no,illegal,nottoohappy
1998,married,ds_yes,7,51,12,male,black,muslim,x_no,illegal,nottoohappy
1976,married,ds_no,1,21,11,female,white,catholic,x_no,illegal,nottoohappy
2014,married,ds_no,2,43,12,female,white,none,x_yes,illegalillegal8,nottoohappy
2012,married,ds_no,2,39,20,female,white,protestant,x_no,illegal,nottoohappy
1991,married,ds_no,1,45,16,female,black,protestant,x_yes,illegal,nottoohappy
1978,married,ds_yes,0,39,7,male,white,none,x_no,illegalillegal8,nottoohappy
1975,married,ds_yes,1,59,14,female,black,protestant,x_no,illegal,nottoohappy
2006,married,ds_no,4,42,9,male,other,none,x_no,illegal,nottoohappy
2014,married,ds_no,1,29,15,female,white,catholic,x_no,illegal,nottoohappy
2018,married,ds_no,1,51,14,female,black,protestant,x_no,illegalillegal8,nottoohappy
1978,married,ds_no,1,25,12,female,black,protestant,x_no,illegalillegal8,nottoohappy
1978,married,ds_no,3,42,12,male,white,catholic,x_no,illegalillegal8,nottoohappy
1991,married,ds_no,1,31,14,female,black,protestant,x_yes,illegalillegal8,nottoohappy
2016,married,ds_yes,1,43,16,female,white,none,x_no,illegalillegal8,nottoohappy
1988,married,ds_no,2,59,13,female,white,none,x_yes,illegal,nottoohappy
1989,married,ds_no,3,55,9,female,white,protestant,x_yes,illegal,nottoohappy
2006,married,ds_yes,2,48,14,female,white,protestant,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,8,55,5,female,black,protestant,x_no,illegal,nottoohappy
1987,married,ds_no,1,78,4,female,black,protestant,x_no,illegalillegal8,nottoohappy
1996,married,ds_no,1,32,15,male,black,other,x_yes,illegalillegal8,nottoohappy
1987,married,ds_no,1,23,10,male,other,protestant,x_yes,illegalillegal8,nottoohappy
1998,married,ds_yes,3,39,9,female,white,none,x_no,illegalillegal8,nottoohappy
2016,married,ds_no,0,22,13,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1976,married,ds_no,8,49,4,female,white,protestant,x_no,illegalillegal8,nottoohappy
2010,married,ds_yes,2,61,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1994,married,ds_yes,0,63,7,male,black,protestant,x_no,illegal,nottoohappy
1994,married,ds_no,1,69,11,female,white,catholic,x_no,illegal,nottoohappy
1994,married,ds_no,1,59,12,female,white,protestant,x_no,illegal,nottoohappy
2002,married,ds_no,3,30,10,female,white,protestant,x_no,illegal,nottoohappy
2016,married,ds_no,3,44,20,female,white,none,x_no,illegalillegal8,nottoohappy
1996,married,ds_yes,2,47,20,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1994,married,ds_no,1,28,14,male,black,protestant,x_no,illegal,nottoohappy
2014,married,ds_no,4,43,6,female,other,catholic,x_no,illegal,nottoohappy
1986,married,ds_yes,8,63,10,male,white,catholic,x_no,illegal,nottoohappy
2008,married,ds_no,2,57,11,female,white,protestant,x_no,illegal,nottoohappy
1986,married,ds_yes,3,45,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1976,married,ds_yes,4,30,12,female,white,protestant,x_no,legal,nottoohappy
1987,married,ds_yes,0,68,13,male,black,protestant,x_no,legal,nottoohappy
2000,married,ds_no,0,46,16,female,white,jewish,x_no,illegalillegal8,nottoohappy
1986,married,ds_yes,3,33,9,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1987,married,ds_yes,4,67,3,male,black,protestant,x_no,illegalillegal8,nottoohappy
1986,married,ds_yes,3,33,12,female,black,protestant,x_yes,illegal,nottoohappy
2016,married,ds_yes,8,54,11,male,white,catholic,x_no,illegalillegal8,nottoohappy
1987,married,noanswer,1,26,12,female,white,protestant,x_no,illegal,nottoohappy
2008,married,ds_no,1,28,16,male,other,protestant,x_no,illegal,nottoohappy
1993,married,ds_yes,4,66,12,female,white,catholic,x_no,illegal,nottoohappy
2008,married,ds_no,3,59,15,female,white,protestant,x_no,illegalillegal8,nottoohappy
1988,married,ds_no,0,44,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1976,married,ds_no,6,55,9,female,white,catholic,x_no,illegalillegal8,nottoohappy
1991,married,ds_no,1,34,12,male,other,protestant,x_yes,illegalillegal8,nottoohappy
1998,married,ds_no,0,27,16,male,other,buddhism,x_no,illegalillegal8,nottoohappy
2002,married,ds_no,4,54,16,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1990,married,ds_no,4,59,14,male,white,none,x_no,illegalillegal8,nottoohappy
2000,married,ds_yes,2,40,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1991,married,ds_no,0,57,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1996,married,ds_no,3,41,19,male,black,protestant,x_no,illegalillegal8,nottoohappy
1976,married,ds_no,1,23,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1976,married,ds_no,2,36,12,female,white,protestant,x_no,illegal,nottoohappy
2018,married,ds_yes,1,53,19,female,black,none,x_no,illegal,nottoohappy
1975,married,ds_no,5,48,8,female,white,catholic,x_no,illegal,nottoohappy
1986,married,ds_yes,4,28,11,male,white,none,x_yes,illegalillegal8,nottoohappy
2016,married,ds_yes,5,43,13,female,other,none,x_yes,illegalillegal8,nottoohappy
2012,married,ds_no,5,32,9,female,white,protestant,x_no,illegalillegal8,nottoohappy
1988,married,ds_no,1,43,16,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1987,married,ds_yes,3,36,9,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1993,married,ds_no,1,39,17,male,white,none,x_no,illegalillegal8,nottoohappy
2010,married,ds_no,3,81,16,female,white,none,x_no,legal,nottoohappy
2010,married,ds_yes,0,51,16,male,white,protestant,x_no,illegalillegal8,nottoohappy
2004,married,ds_yes,8,70,7,female,white,catholic,x_no,illegalillegal8,nottoohappy
1990,married,ds_no,2,27,13,female,other,none,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,1,41,20,female,white,catholic,x_no,illegal,nottoohappy
1990,married,ds_no,3,38,12,female,black,protestant,x_yes,illegalillegal8,nottoohappy
2006,married,ds_yes,1,43,4,female,other,catholic,x_no,illegalillegal8,nottoohappy
1986,married,ds_no,3,57,12,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1978,married,ds_yes,8,59,12,female,black,protestant,x_no,illegalillegal8,nottoohappy
1978,married,ds_yes,5,42,12,male,white,catholic,x_no,illegal,nottoohappy
1987,married,noanswer,2,66,12,male,black,protestant,x_no,illegal,nottoohappy
2006,married,ds_yes,2,47,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1973,married,ds_no,1,26,12,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1998,married,ds_yes,1,41,10,female,white,protestant,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,3,26,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1987,married,ds_yes,2,36,12,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1983,married,ds_no,2,29,12,female,white,catholic,x_yes,illegalillegal8,nottoohappy
1984,married,ds_no,3,35,2,female,other,protestant,x_no,illegal,nottoohappy
2018,married,ds_yes,5,63,12,male,white,none,x_yes,illegalillegal8,nottoohappy
1993,married,ds_no,2,32,12,female,white,protestant,x_no,illegal,nottoohappy
1980,married,ds_yes,5,52,9,male,white,protestant,x_no,illegal,nottoohappy
1994,married,ds_yes,3,50,16,male,white,protestant,x_no,legal,nottoohappy
2014,married,ds_yes,3,58,8,male,white,catholic,x_no,illegalillegal8,nottoohappy
1989,married,ds_yes,3,54,12,female,black,protestant,x_no,illegal,nottoohappy
1978,married,ds_yes,0,43,8,male,white,none,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,6,51,6,male,other,catholic,x_yes,illegalillegal8,nottoohappy
1988,married,ds_no,2,34,12,female,white,protestant,x_no,illegal,nottoohappy
2002,married,ds_no,0,37,19,male,white,none,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,3,66,17,male,white,none,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,0,32,17,female,white,other,x_yes,illegalillegal8,nottoohappy
1998,married,ds_no,2,45,18,male,white,orthodoxchristian,x_no,illegalillegal8,nottoohappy
2016,married,ds_no,2,68,16,female,other,none,x_no,illegal,nottoohappy
2002,married,ds_yes,3,46,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1978,married,ds_no,2,57,12,female,white,noanswer,x_yes,illegal,nottoohappy
1993,married,ds_no,3,49,4,male,white,none,x_no,legal,nottoohappy
1987,married,ds_yes,4,63,8,male,white,protestant,x_no,illegal,nottoohappy
2004,married,ds_no,4,26,12,male,other,protestant,x_no,illegalillegal8,nottoohappy
2006,married,ds_no,3,41,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,3,45,12,male,white,protestant,x_no,illegalillegal8,nottoohappy
1993,married,ds_no,3,71,16,female,white,protestant,x_no,illegal,nottoohappy
2006,married,ds_yes,2,34,13,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1993,married,ds_no,3,37,11,female,white,catholic,x_no,illegalillegal8,nottoohappy
1994,married,ds_yes,2,68,14,female,white,jewish,x_no,illegal,nottoohappy
2014,married,ds_no,3,39,15,male,white,none,x_yes,illegal,nottoohappy
1996,married,ds_no,0,36,15,male,white,other,x_yes,legal,nottoohappy
1980,married,ds_yes,3,54,11,female,white,protestant,x_no,illegal,nottoohappy
1984,married,ds_no,1,68,12,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1976,married,ds_no,4,48,12,female,white,none,x_no,dontknow,nottoohappy
2016,married,ds_no,1,36,18,male,white,protestant,x_yes,illegal,nottoohappy
2006,married,ds_yes,2,71,15,female,white,protestant,x_no,illegal,nottoohappy
1976,married,ds_no,3,34,10,female,white,protestant,x_no,illegal,nottoohappy
1991,married,ds_yes,3,41,12,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1984,married,ds_no,2,43,16,male,white,none,x_no,illegalillegal8,nottoohappy
1983,married,ds_yes,1,25,10,male,white,none,x_yes,illegal,nottoohappy
1994,married,ds_no,2,31,12,female,other,catholic,x_yes,illegalillegal8,nottoohappy
1993,married,ds_no,4,29,10,female,white,catholic,x_yes,illegal,nottoohappy
1975,married,ds_yes,4,48,12,male,white,protestant,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,7,63,12,female,white,protestant,x_no,illegal,nottoohappy
1978,married,ds_no,4,46,18,male,white,none,x_no,legal,nottoohappy
1990,married,ds_yes,2,48,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,2,28,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2004,married,ds_no,1,30,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1976,married,ds_no,2,24,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
2000,married,ds_no,3,49,12,female,white,none,x_no,legal,nottoohappy
1973,married,ds_yes,3,36,11,female,black,protestant,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,1,42,12,female,black,protestant,x_no,illegalillegal8,nottoohappy
2006,married,ds_no,6,83,16,female,white,catholic,x_no,illegal,nottoohappy
1986,married,ds_no,2,36,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
1984,married,ds_no,4,36,12,female,white,catholic,x_no,illegal,nottoohappy
1984,married,ds_yes,4,24,7,female,white,protestant,x_no,legal,nottoohappy
2014,married,ds_no,4,43,16,male,white,none,x_yes,dontknow,nottoohappy
2012,married,ds_no,2,54,12,female,white,protestant,x_no,illegal,nottoohappy
1986,married,ds_no,6,49,6,male,white,none,x_no,illegalillegal8,nottoohappy
2014,married,ds_no,3,37,16,female,black,protestant,x_no,illegalillegal8,nottoohappy
1998,married,ds_no,4,59,14,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1983,married,ds_yes,3,74,12,female,black,protestant,x_no,illegal,nottoohappy
1975,married,ds_yes,2,38,11,male,white,catholic,x_yes,illegal,nottoohappy
1976,married,ds_yes,1,69,4,female,white,none,x_no,illegal,nottoohappy
1975,married,ds_no,3,44,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1994,married,ds_yes,3,63,12,female,white,protestant,x_no,illegal,nottoohappy
1983,married,ds_no,4,58,17,female,black,protestant,x_no,illegalillegal8,nottoohappy
1993,married,ds_no,4,70,12,female,white,protestant,x_no,illegal,nottoohappy
1991,married,ds_no,2,59,14,female,white,protestant,x_no,illegal,nottoohappy
1988,married,ds_no,3,70,13,female,white,catholic,x_no,illegal,nottoohappy
2006,married,ds_yes,1,48,16,female,other,buddhism,x_no,illegal,nottoohappy
2008,married,ds_no,1,38,15,female,other,protestant,x_no,illegalillegal8,nottoohappy
1996,married,ds_yes,3,41,13,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1975,married,ds_no,0,39,13,female,black,protestant,x_no,illegal,nottoohappy
1989,married,ds_no,3,39,5,female,white,catholic,x_no,illegal,nottoohappy
1991,married,ds_yes,4,41,10,female,white,protestant,x_no,illegal,nottoohappy
1989,married,ds_no,2,25,10,female,white,catholic,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,2,57,17,male,white,protestant,x_no,illegalillegal8,nottoohappy
1986,married,ds_no,4,38,13,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1983,married,ds_no,3,68,8,female,white,protestant,x_no,dontknow,nottoohappy
1998,married,ds_no,1,51,18,female,white,protestant,x_yes,illegal,nottoohappy
2012,married,ds_no,1,60,4,female,other,protestant,x_no,illegal,nottoohappy
1983,married,ds_yes,0,26,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1994,married,ds_no,2,32,10,female,white,catholic,x_no,illegal,nottoohappy
2008,married,ds_yes,2,45,12,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1980,married,noanswer,4,69,5,male,white,catholic,x_no,illegal,nottoohappy
1975,married,ds_no,2,32,12,female,white,protestant,x_yes,illegalillegal8,nottoohappy
2014,married,ds_no,3,66,12,female,white,catholic,x_no,illegal,nottoohappy
1989,married,ds_no,4,31,13,female,white,protestant,x_no,illegal,nottoohappy
2016,married,ds_no,3,41,12,female,black,muslim,x_no,illegalillegal8,nottoohappy
1984,married,ds_yes,1,47,14,female,black,protestant,x_no,illegalillegal8,nottoohappy
1976,married,ds_no,3,31,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,2,37,16,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2016,married,ds_no,3,54,9,male,white,none,x_no,illegalillegal8,nottoohappy
2016,married,ds_yes,4,43,14,female,black,protestant,x_no,illegalillegal8,nottoohappy
2008,married,ds_yes,4,53,13,female,white,catholic,x_no,illegalillegal8,nottoohappy
2018,married,ds_no,2,57,13,male,white,other,x_no,illegalillegal8,nottoohappy
1984,married,ds_yes,3,36,10,female,black,protestant,x_no,illegalillegal8,nottoohappy
1994,married,ds_no,1,33,14,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1973,married,ds_yes,4,52,8,male,black,protestant,x_no,dontknow,nottoohappy
1984,married,ds_no,1,61,6,female,white,none,x_yes,illegal,nottoohappy
1990,married,ds_no,2,50,16,female,black,protestant,x_no,illegalillegal8,nottoohappy
1987,married,ds_yes,4,42,9,female,white,protestant,x_no,illegal,nottoohappy
1986,married,ds_no,0,29,16,female,white,protestant,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,1,30,12,male,white,protestant,x_no,illegal,nottoohappy
1975,married,ds_no,2,28,10,female,white,none,x_yes,legal,nottoohappy
2004,married,ds_no,2,34,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1988,married,ds_no,1,20,9,female,white,protestant,x_yes,legal,nottoohappy
2006,married,ds_yes,0,21,14,female,other,catholic,x_yes,illegalillegal8,nottoohappy
1989,married,ds_no,2,47,18,female,other,none,x_no,illegalillegal8,nottoohappy
2000,married,ds_yes,2,40,14,female,white,protestant,x_no,illegalillegal8,nottoohappy
2002,married,ds_no,1,35,16,female,white,none,x_no,illegalillegal8,nottoohappy
2016,married,ds_no,1,48,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
2006,married,ds_yes,3,60,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
1987,married,ds_yes,4,45,10,female,white,protestant,x_no,illegal,nottoohappy
2010,married,ds_no,1,49,99,male,white,noanswer,x_yes,illegalillegal8,nottoohappy
1996,married,ds_yes,3,62,14,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1988,married,ds_no,2,25,9,female,white,protestant,x_no,illegalillegal8,nottoohappy
1975,married,ds_no,3,31,13,female,white,protestant,x_no,illegalillegal8,nottoohappy
1996,married,ds_yes,4,50,14,female,white,protestant,x_no,illegal,nottoohappy
2014,married,ds_no,0,59,14,female,white,none,x_no,illegalillegal8,nottoohappy
1991,married,ds_no,6,68,11,female,white,protestant,x_no,illegal,nottoohappy
1994,married,ds_no,3,49,16,male,white,protestant,x_no,illegalillegal8,nottoohappy
1980,married,ds_no,6,39,8,female,black,protestant,x_no,illegal,nottoohappy
2008,married,ds_no,5,70,12,female,white,protestant,x_no,illegal,nottoohappy
1973,married,ds_no,3,42,8,female,white,none,x_yes,illegalillegal8,nottoohappy
1988,married,ds_yes,2,77,20,male,white,catholic,x_no,illegalillegal8,nottoohappy
1978,married,ds_no,0,25,16,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1998,married,ds_no,2,40,16,male,white,protestant,x_no,illegal,nottoohappy
1996,married,ds_no,2,81,10,female,white,jewish,x_no,dontknow,nottoohappy
1998,married,ds_no,1,42,9,male,white,none,x_yes,legal,nottoohappy
2016,married,ds_yes,3,57,12,male,black,protestant,x_no,illegal,nottoohappy
2012,married,ds_no,5,40,6,female,white,catholic,x_no,illegalillegal8,nottoohappy
1998,married,ds_no,2,40,8,female,other,catholic,x_no,illegalillegal8,nottoohappy
1975,married,ds_yes,2,19,12,female,white,protestant,x_yes,illegal,nottoohappy
1998,married,ds_no,3,81,11,male,white,catholic,x_no,illegalillegal8,nottoohappy
1978,married,ds_no,3,43,6,male,white,protestant,x_no,illegalillegal8,nottoohappy
1976,married,ds_no,3,55,12,female,white,protestant,x_no,illegal,nottoohappy
1976,married,ds_no,1,39,10,female,white,catholic,x_no,illegalillegal8,nottoohappy
2006,married,ds_no,1,43,12,female,black,protestant,x_yes,illegalillegal8,nottoohappy
1975,married,ds_yes,3,45,10,female,white,protestant,x_no,legal,nottoohappy
2016,married,ds_yes,2,39,17,female,other,catholic,x_no,illegal,nottoohappy
1973,married,ds_yes,3,38,12,female,white,protestant,x_no,illegalillegal8,nottoohappy
2006,married,ds_no,3,41,14,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1986,married,ds_no,2,39,14,female,white,protestant,x_yes,legal,nottoohappy
1978,married,ds_yes,6,39,13,male,black,protestant,x_no,illegal,nottoohappy
1987,married,ds_no,1,43,12,female,black,protestant,x_yes,legal,nottoohappy
1975,married,ds_yes,7,52,11,male,white,protestant,x_no,illegalillegal8,nottoohappy
1987,married,ds_no,2,44,16,female,white,protestant,x_no,illegalillegal8,nottoohappy
1996,married,ds_no,3,35,13,male,white,none,x_yes,illegalillegal8,nottoohappy
2002,married,ds_no,6,53,12,female,white,catholic,x_no,illegal,nottoohappy
2012,married,ds_no,1,26,16,female,black,protestant,x_no,illegal,nottoohappy
1978,married,ds_yes,4,75,6,female,white,protestant,x_no,illegal,nottoohappy
1978,married,ds_yes,2,53,11,female,black,protestant,x_no,legal,nottoohappy
1988,married,ds_no,1,39,15,female,other,none,x_no,illegalillegal8,nottoohappy
1983,married,ds_no,3,47,8,female,white,protestant,x_no,illegal,nottoohappy
2004,married,ds_no,2,65,12,female,white,protestant,x_no,illegal,nottoohappy
1984,married,ds_no,6,68,7,male,white,protestant,x_no,illegal,nottoohappy
2010,married,ds_no,2,41,13,female,white,protestant,x_no,illegal,nottoohappy
1988,married,ds_no,2,67,11,female,white,protestant,x_no,illegal,nottoohappy
1994,married,ds_yes,3,56,13,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1998,married,ds_no,2,45,12,female,white,other,x_no,illegal,nottoohappy
2010,married,ds_no,3,55,13,male,white,protestant,x_yes,illegalillegal8,nottoohappy
1980,married,ds_no,2,60,12,male,white,protestant,x_no,illegalillegal8,nottoohappy
1988,married,ds_yes,3,64,12,female,white,catholic,x_no,illegalillegal8,nottoohappy
2008,married,ds_no,2,33,10,female,white,christian,x_yes,illegalillegal8,nottoohappy
2000,married,ds_no,2,36,14,female,black,jewish,x_no,illegalillegal8,nottoohappy
1980,married,ds_yes,4,40,10,female,black,protestant,x_yes,illegalillegal8,nottoohappy
2000,married,ds_no,2,66,13,male,black,protestant,x_no,illegalillegal8,nottoohappy
2006,married,ds_yes,1,37,12,male,black,protestant,x_yes,illegal,nottoohappy
2018,married,ds_no,2,44,20,female,white,protestant,x_no,illegal,nottoohappy
1980,married,ds_yes,2,35,10,male,white,protestant,x_no,illegalillegal8,nottoohappy
