work,fnlwgt,education,marital,occupation,sex,capitalgain,capitalloss,hoursperweek,race,income
Private,48520,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,307812,edu2,Married,Craft-repair,Male,0,0,60,White,<=50K
Private,70240,edu2,Single,Sales,Female,0,0,24,Asian-Pac-Islander,<=50K
Self-emp-not-inc,107737,edu2,Married,Craft-repair,Male,0,0,45,White,<=50K
Private,80680,edu2,Married,Sales,Female,0,0,16,White,<=50K
Private,172612,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,396745,edu3,Married,Prof-specialty,Male,0,2415,48,White,>50K
Self-emp-inc,176900,edu2,Married,Adm-clerical,Female,0,0,25,White,<=50K
Private,162432,edu2,Single,Exec-managerial,Female,0,0,40,White,<=50K
Private,37232,edu2,Single,Craft-repair,Male,0,0,80,White,<=50K
Private,204752,edu2,Single,Other-service,Male,0,0,40,White,<=50K
Federal-gov,128141,edu3,Single,Adm-clerical,Male,0,0,40,Black,<=50K
Local-gov,169853,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,326048,edu3,Single,Other-service,Male,0,0,44,White,<=50K
Private,147171,edu2,Single,Adm-clerical,Female,0,0,40,Asian-Pac-Islander,<=50K
Private,173968,edu2,Married,Craft-repair,Male,0,0,45,White,<=50K
Private,174864,edu2,Married,Craft-repair,Male,0,1485,45,White,>50K
Private,63225,edu1,Single,Other-service,Female,0,0,15,White,<=50K
Private,238092,edu3,Single,Prof-specialty,Male,0,0,40,White,<=50K
Private,176981,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,211154,edu2,Single,Machine-op-inspct,Male,0,0,52,White,<=50K
Federal-gov,914061,edu2,Married,Adm-clerical,Male,0,0,44,White,>50K
Private,118947,edu3,Married,Sales,Male,0,0,44,White,>50K
Self-emp-not-inc,29874,edu2,Single,Craft-repair,Male,0,0,60,White,>50K
Private,157308,edu1,Married,Handlers-cleaners,Female,2829,0,14,Asian-Pac-Islander,<=50K
Private,377757,edu1,Married,Transport-moving,Male,0,0,40,White,<=50K
Private,139978,edu1,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,148187,edu1,Single,Other-service,Male,0,0,40,White,<=50K
Private,213719,edu3,Single,Sales,Female,0,0,36,Black,<=50K
Private,65584,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Self-emp-not-inc,109133,edu3,Married,Sales,Male,0,0,50,White,>50K
Private,344991,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,299215,edu2,Married,Adm-clerical,Male,0,0,40,Black,<=50K
Private,238342,edu2,Single,Adm-clerical,Male,0,0,40,White,<=50K
Private,69251,edu2,Married,Other-service,Male,0,0,40,Asian-Pac-Islander,<=50K
Private,127388,edu3,Married,Sales,Female,0,0,40,White,<=50K
Private,193451,edu1,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,154571,edu3,Single,Sales,Male,0,0,50,Asian-Pac-Islander,<=50K
Federal-gov,35723,edu3,Married,Exec-managerial,Male,0,0,60,White,>50K
Private,228182,edu3,Married,Prof-specialty,Male,0,0,40,White,>50K
Private,215310,edu2,Married,Craft-repair,Male,0,0,50,White,>50K
Private,140854,edu3,Married,Tech-support,Male,0,0,40,White,>50K
Private,31208,edu3,Single,Exec-managerial,Female,0,0,40,White,<=50K
Private,34028,edu3,Single,Exec-managerial,Female,0,0,48,White,<=50K
Private,30269,edu2,Married,Other-service,Female,7298,0,32,White,>50K
State-gov,22211,edu2,Single,Exec-managerial,Male,0,0,37,White,>50K
Private,197565,edu2,Married,Other-service,Female,0,1902,35,White,>50K
Private,236769,edu2,Single,Handlers-cleaners,Male,0,0,40,White,<=50K
Private,81654,edu3,Married,Prof-specialty,Male,0,0,60,White,>50K
Self-emp-not-inc,34572,edu3,Married,Exec-managerial,Male,0,0,60,White,>50K
Private,186303,edu3,Married,Sales,Male,0,0,40,White,>50K
State-gov,183829,edu3,Single,Adm-clerical,Female,0,0,38,White,<=50K
Private,91733,edu2,Single,Other-service,Female,0,0,35,White,<=50K
Private,98515,edu3,Single,Tech-support,Female,0,0,40,White,<=50K
Private,181576,edu2,Single,Transport-moving,Male,0,0,55,White,<=50K
Private,209392,edu2,Single,Protective-serv,Male,0,0,35,Black,<=50K
Private,124953,edu3,Single,Prof-specialty,Male,0,0,50,White,<=50K
Private,175323,edu3,Married,Exec-managerial,Female,0,0,52,White,<=50K
Private,75435,edu2,Married,Handlers-cleaners,Male,0,0,40,Amer-Indian-Eskimo,<=50K
State-gov,262819,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Self-emp-not-inc,34180,edu2,Married,Farming-fishing,Male,0,0,35,White,<=50K
Self-emp-not-inc,107548,edu1,Married,Adm-clerical,Male,0,0,40,White,<=50K
Private,207335,edu3,Single,Prof-specialty,Male,0,0,45,White,>50K
Private,162184,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,358382,edu2,Single,Other-service,Male,0,0,40,Black,<=50K
Private,116991,edu2,Married,Craft-repair,Male,0,0,40,White,>50K
Private,185041,edu1,Married,Transport-moving,Male,0,1672,55,White,<=50K
Self-emp-inc,179030,edu3,Married,Other-service,Female,0,0,35,Asian-Pac-Islander,<=50K
Private,243476,edu2,Single,Tech-support,Female,0,0,40,White,<=50K
Local-gov,449172,edu3,Single,Exec-managerial,Male,0,0,40,Black,<=50K
Private,265638,edu2,Single,Other-service,Female,0,0,40,Black,<=50K
Private,155489,edu2,Single,Prof-specialty,Male,0,0,40,White,>50K
Private,27305,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-not-inc,53366,edu1,Married,Craft-repair,Male,0,0,20,White,<=50K
Private,206051,edu2,Married,Handlers-cleaners,Male,0,0,40,White,>50K
Private,118605,edu3,Married,Prof-specialty,Male,0,0,55,White,<=50K
Private,195105,edu2,Single,Sales,Male,0,0,40,Other,<=50K
Private,83413,edu2,Single,Sales,Male,0,0,40,White,<=50K
Private,307375,edu2,Single,Other-service,Female,0,0,40,Amer-Indian-Eskimo,<=50K
Private,211440,edu3,Married,Sales,Male,0,0,50,White,>50K
Local-gov,310085,edu2,Married,Other-service,Male,0,0,40,White,>50K
Self-emp-not-inc,171315,edu3,Married,Prof-specialty,Male,0,0,60,White,>50K
Federal-gov,260761,edu2,Married,Exec-managerial,Male,0,0,40,White,<=50K
Private,158294,edu3,Married,Prof-specialty,Male,7298,0,40,White,>50K
Private,118536,edu2,Single,Machine-op-inspct,Male,0,0,40,Black,<=50K
State-gov,149342,edu2,Single,Handlers-cleaners,Male,0,0,35,White,<=50K
Private,157569,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,282155,edu2,Single,Other-service,Female,0,0,25,White,<=50K
Private,209535,edu2,Single,Transport-moving,Male,0,0,40,White,<=50K
State-gov,58930,edu3,Single,Prof-specialty,Female,0,0,40,White,<=50K
State-gov,27661,edu3,Single,Prof-specialty,Male,0,0,45,White,<=50K
Private,51362,edu3,Single,Sales,Female,0,0,16,White,<=50K
Private,415578,edu1,Married,Craft-repair,Male,0,0,40,White,>50K
Private,121124,edu2,Married,Prof-specialty,Male,0,0,50,White,<=50K
Private,154669,edu3,Single,Exec-managerial,Male,0,0,55,White,<=50K
Private,197369,edu1,Married,Exec-managerial,Male,0,0,40,White,>50K
Private,197387,edu1,Married,Transport-moving,Male,0,0,40,White,<=50K
State-gov,120131,edu2,Single,Craft-repair,Male,8614,0,40,White,>50K
Private,247558,edu2,Single,Tech-support,Male,0,0,50,White,<=50K
Private,173704,edu3,Married,Exec-managerial,Male,0,0,40,White,>50K
Private,159109,edu1,Single,Transport-moving,Male,0,0,40,White,<=50K
Private,453983,edu2,Married,Handlers-cleaners,Male,0,0,44,White,<=50K
Private,186946,edu2,Single,Machine-op-inspct,Female,0,0,23,White,<=50K
Self-emp-inc,284799,edu2,Married,Sales,Male,0,0,60,White,<=50K
Private,129010,edu1,Single,Craft-repair,Male,0,0,10,White,<=50K
Private,27766,edu3,Married,Sales,Male,0,0,40,White,<=50K
Self-emp-inc,58359,edu2,Married,Exec-managerial,Male,15024,0,50,White,>50K
State-gov,242122,edu2,Single,Adm-clerical,Female,0,0,40,Black,<=50K
Private,41901,edu2,Single,Craft-repair,Male,0,1408,40,White,<=50K
Private,206280,edu2,Single,Adm-clerical,Male,0,0,40,Black,<=50K
Federal-gov,510072,edu3,Married,Exec-managerial,Male,0,0,40,White,>50K
Private,66434,edu1,Single,Other-service,Female,0,0,15,White,<=50K
Private,234474,edu2,Single,Sales,Female,0,0,20,Black,<=50K
Private,169589,edu3,Married,Handlers-cleaners,Male,0,0,40,White,>50K
Private,101352,edu3,Single,Exec-managerial,Female,0,0,40,White,<=50K
Private,144056,edu2,Married,Prof-specialty,Male,0,0,40,White,>50K
Local-gov,181974,edu1,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,322044,edu2,Single,Machine-op-inspct,Male,0,0,40,Black,<=50K
Self-emp-not-inc,35468,edu3,Married,Prof-specialty,Male,0,0,24,White,<=50K
Local-gov,38455,edu2,Single,Craft-repair,Male,0,0,10,White,<=50K
Self-emp-inc,92036,edu3,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,190762,edu1,Single,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-not-inc,36960,edu2,Married,Farming-fishing,Male,0,0,40,White,>50K
Private,176992,edu2,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,365683,edu2,Single,Adm-clerical,Female,0,0,16,White,<=50K
Private,347166,edu3,Single,Prof-specialty,Male,13550,0,45,White,>50K
Local-gov,83791,edu2,Married,Adm-clerical,Female,0,0,45,White,<=50K
Private,272950,edu2,Married,Exec-managerial,Male,0,0,40,White,<=50K
Private,159008,edu3,Married,Prof-specialty,Female,0,0,36,White,>50K
Private,185413,edu3,Married,Exec-managerial,Male,0,0,40,White,<=50K
Private,425622,edu1,Married,Handlers-cleaners,Male,0,0,40,White,<=50K
Self-emp-not-inc,170785,edu1,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,172927,edu2,Single,Transport-moving,Male,0,1741,70,White,<=50K
Private,163595,edu2,Single,Craft-repair,Male,0,0,45,White,<=50K
Private,197756,edu2,Married,Sales,Female,0,0,35,White,<=50K
Private,317443,edu2,Single,Adm-clerical,Female,0,0,15,Black,<=50K
Private,231688,edu2,Single,Machine-op-inspct,Male,0,0,20,White,<=50K
Private,210945,edu1,Single,Other-service,Female,0,0,40,Black,<=50K
Private,341672,edu3,Single,Tech-support,Male,0,0,40,Asian-Pac-Islander,<=50K
Self-emp-not-inc,103110,edu3,Married,Prof-specialty,Male,0,0,50,White,<=50K
Private,201292,edu2,Married,Other-service,Male,0,0,40,White,<=50K
Private,239755,edu1,Single,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-not-inc,95082,edu2,Married,Sales,Male,0,0,60,White,<=50K
Private,309311,edu2,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,424855,edu2,Married,Machine-op-inspct,Male,3908,0,40,White,<=50K
Private,133937,edu2,Single,Exec-managerial,Male,0,0,45,White,<=50K
Private,124680,edu2,Single,Sales,Female,0,0,70,White,<=50K
Private,86551,edu3,Married,Exec-managerial,Male,0,0,45,White,>50K
Self-emp-not-inc,29430,edu2,Single,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,395368,edu2,Single,Handlers-cleaners,Male,0,0,40,Black,<=50K
Self-emp-not-inc,45093,edu2,Single,Craft-repair,Male,0,0,45,White,<=50K
Private,110371,edu1,Single,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,198270,edu2,Single,Other-service,Female,0,0,40,White,<=50K
Self-emp-not-inc,154410,edu3,Single,Exec-managerial,Male,0,0,40,White,<=50K
Private,256908,edu3,Married,Sales,Male,0,0,50,White,>50K
Private,53874,edu1,Married,Machine-op-inspct,Male,0,0,40,Black,<=50K
Local-gov,298035,edu3,Married,Prof-specialty,Male,0,0,40,White,<=50K
Private,197600,edu1,Single,Handlers-cleaners,Male,0,0,20,White,<=50K
Private,301010,edu1,Single,Other-service,Male,0,0,40,Black,<=50K
Private,228406,edu2,Single,Adm-clerical,Female,0,0,40,Black,<=50K
Private,181363,edu3,Married,Prof-specialty,Male,0,0,40,White,>50K
Private,203518,edu3,Single,Sales,Female,0,0,45,White,<=50K
Private,202570,edu3,Single,Prof-specialty,Male,0,0,15,Black,<=50K
State-gov,354591,edu2,Single,Other-service,Female,114,0,38,Black,<=50K
Private,301210,edu1,Married,Transport-moving,Male,0,1735,20,White,<=50K
Private,88922,edu2,Married,Transport-moving,Male,0,0,40,Black,<=50K
Private,170017,edu2,Married,Craft-repair,Male,0,0,50,White,<=50K
State-gov,75409,edu3,Married,Prof-specialty,Female,0,0,40,White,>50K
Private,261504,edu2,Married,Transport-moving,Female,0,0,40,White,<=50K
Private,240124,edu3,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,269317,edu2,Married,Machine-op-inspct,Male,0,0,42,White,<=50K
Private,188563,edu2,Married,Sales,Male,5178,0,50,White,>50K
Private,166215,edu1,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,308770,edu2,Married,Adm-clerical,Male,0,0,40,Black,>50K
Private,177423,edu2,Single,Other-service,Male,4416,0,45,Asian-Pac-Islander,<=50K
Self-emp-inc,231002,edu2,Married,Exec-managerial,Male,0,0,30,White,>50K
Private,165475,edu2,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,122609,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,34233,edu2,Married,Farming-fishing,Male,0,0,50,White,<=50K
Private,137018,edu2,Single,Other-service,Female,0,0,40,White,<=50K
Private,180239,edu3,Single,Craft-repair,Male,0,0,40,Asian-Pac-Islander,<=50K
Private,184615,edu1,Single,Machine-op-inspct,Female,1264,0,40,White,<=50K
Private,399022,edu2,Single,Other-service,Male,0,0,35,White,<=50K
Private,81578,edu1,Married,Sales,Male,0,0,40,White,<=50K
Private,280957,edu2,Married,Other-service,Male,0,0,20,White,<=50K
Private,262278,edu3,Married,Exec-managerial,Male,15024,0,45,Black,>50K
Local-gov,33155,edu2,Single,Other-service,Male,0,0,40,White,<=50K
Private,198270,edu3,Single,Prof-specialty,Female,0,0,43,White,<=50K
Private,301168,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,231919,edu1,Married,Craft-repair,Male,0,0,45,White,<=50K
Private,206535,edu2,Single,Tech-support,Female,0,0,50,White,<=50K
Private,223019,edu2,Single,Other-service,Female,0,0,30,White,<=50K
Private,30270,edu1,Married,Sales,Male,0,0,40,White,<=50K
Private,159869,edu2,Single,Exec-managerial,Male,0,0,44,White,<=50K
Private,454941,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-not-inc,182177,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,318822,edu2,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,81846,edu2,Married,Adm-clerical,Male,0,0,40,Asian-Pac-Islander,<=50K
Private,71898,edu1,Married,Machine-op-inspct,Female,0,0,35,Asian-Pac-Islander,<=50K
Self-emp-not-inc,120066,edu2,Married,Craft-repair,Male,0,0,60,Amer-Indian-Eskimo,<=50K
Private,379062,edu2,Single,Adm-clerical,Female,0,0,12,White,<=50K
Private,265368,edu3,Married,Exec-managerial,Female,0,1902,44,White,>50K
Private,185706,edu2,Single,Sales,Female,0,0,20,White,<=50K
Private,151971,edu2,Single,Handlers-cleaners,Male,0,0,35,White,<=50K
Private,143582,edu3,Single,Prof-specialty,Female,0,0,45,Asian-Pac-Islander,<=50K
Self-emp-not-inc,404062,edu2,Married,Prof-specialty,Male,0,1977,15,White,>50K
Federal-gov,339002,edu3,Married,Craft-repair,Male,0,0,40,White,>50K
Local-gov,117833,edu3,Single,Prof-specialty,Female,0,0,35,White,<=50K
Private,269605,edu2,Single,Exec-managerial,Male,0,0,32,White,<=50K
Private,206049,edu2,Married,Transport-moving,Male,0,0,40,White,<=50K
Private,50341,edu3,Single,Adm-clerical,Female,0,0,40,White,<=50K
Private,285263,edu2,Single,Adm-clerical,Male,0,0,40,White,<=50K
Private,266505,edu2,Married,Sales,Male,5013,0,38,White,<=50K
State-gov,222434,edu3,Married,Protective-serv,Male,0,0,40,White,<=50K
Private,238376,edu1,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,184682,edu3,Single,Tech-support,Female,0,0,30,White,<=50K
Private,347166,edu2,Single,Exec-managerial,Male,0,0,60,White,<=50K
State-gov,209317,edu2,Married,Protective-serv,Male,0,0,40,White,<=50K
Private,278617,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,123283,edu2,Single,Machine-op-inspct,Female,0,0,15,Black,<=50K
Private,394727,edu1,Single,Handlers-cleaners,Male,0,0,40,Black,<=50K
Private,140327,edu2,Married,Sales,Female,7298,0,35,White,>50K
Private,160178,edu2,Single,Adm-clerical,Female,0,0,38,White,<=50K
Self-emp-not-inc,304699,edu1,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,360097,edu2,Single,Handlers-cleaners,Male,0,0,40,Black,<=50K
Local-gov,668319,edu3,Married,Exec-managerial,Male,0,1740,80,White,<=50K
Local-gov,491000,edu3,Single,Prof-specialty,Male,0,0,40,Black,<=50K
Private,28334,edu3,Single,Exec-managerial,Female,0,0,40,White,>50K
Private,215546,edu3,Single,Exec-managerial,Male,0,0,55,White,<=50K
Private,200295,edu2,Single,Other-service,Male,0,0,30,White,<=50K
Private,124901,edu2,Married,Sales,Male,0,0,50,White,<=50K
Self-emp-inc,127678,edu2,Married,Sales,Male,0,0,80,White,<=50K
Private,209146,edu2,Married,Transport-moving,Male,0,0,40,White,<=50K
Federal-gov,102238,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,185099,edu2,Married,Exec-managerial,Male,0,0,40,White,<=50K
Local-gov,215895,edu3,Married,Adm-clerical,Male,0,0,40,White,>50K
Private,172694,edu2,Married,Machine-op-inspct,Male,0,0,40,Black,<=50K
Private,150057,edu2,Married,Machine-op-inspct,Male,4386,0,48,White,<=50K
State-gov,71996,edu3,Single,Adm-clerical,Female,0,0,52,Asian-Pac-Islander,<=50K
Private,82560,edu3,Single,Other-service,Male,0,0,43,White,<=50K
State-gov,352628,edu3,Single,Prof-specialty,Female,0,0,40,White,<=50K
Private,101825,edu2,Single,Sales,Female,0,0,45,White,<=50K
Private,174308,edu1,Single,Transport-moving,Male,0,0,40,White,<=50K
Private,101563,edu3,Single,Exec-managerial,Male,7430,0,45,White,>50K
Private,155408,edu2,Single,Handlers-cleaners,Female,0,0,40,White,<=50K
Private,152909,edu3,Married,Exec-managerial,Male,0,1887,45,White,>50K
Private,284021,edu2,Single,Sales,Female,0,0,40,White,<=50K
Private,570562,edu2,Single,Sales,Male,0,0,38,White,<=50K
Private,374524,edu3,Married,Prof-specialty,Male,0,0,75,White,>50K
Private,290290,edu2,Single,Prof-specialty,Male,0,1590,50,White,<=50K
State-gov,117393,edu3,Married,Exec-managerial,Female,0,0,38,White,<=50K
Private,107303,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-not-inc,244953,edu2,Single,Exec-managerial,Female,0,0,20,White,<=50K
Private,169905,edu3,Single,Sales,Male,27828,0,40,White,>50K
Private,232954,edu2,Married,Sales,Male,0,0,45,White,<=50K
Private,266043,edu1,Married,Transport-moving,Male,0,0,40,White,<=50K
Private,224799,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Private,361494,edu2,Married,Sales,Male,0,0,40,White,>50K
Private,232874,edu3,Married,Tech-support,Male,0,0,40,White,<=50K
Private,96176,edu2,Single,Adm-clerical,Female,0,0,20,White,<=50K
Private,339773,edu2,Married,Exec-managerial,Male,0,0,40,White,>50K
Private,191782,edu2,Single,Other-service,Female,0,0,30,Black,<=50K
Private,345073,edu2,Single,Exec-managerial,Male,0,0,48,White,>50K
Local-gov,175856,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,186849,edu1,Single,Sales,Male,0,0,50,White,<=50K
Private,104724,edu3,Married,Prof-specialty,Male,0,0,40,White,>50K
State-gov,151459,edu1,Single,Other-service,Female,0,0,38,Black,<=50K
Private,191503,edu1,Married,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,130806,edu1,Single,Handlers-cleaners,Male,0,0,24,White,<=50K
Private,213644,edu2,Single,Machine-op-inspct,Male,0,0,40,White,<=50K
Private,176711,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-not-inc,37939,edu3,Married,Craft-repair,Male,0,0,35,White,<=50K
Private,416338,edu3,Single,Sales,Male,0,0,50,White,<=50K
Private,74631,edu2,Single,Sales,Female,0,0,40,White,<=50K
Private,367533,edu2,Married,Machine-op-inspct,Male,2580,0,40,White,<=50K
State-gov,111843,edu3,Single,Other-service,Female,0,0,40,Black,<=50K
Local-gov,295589,edu2,Single,Adm-clerical,Male,0,0,40,Black,<=50K
Private,28544,edu1,Single,Sales,Female,0,0,20,White,<=50K
Private,291789,edu2,Single,Machine-op-inspct,Female,0,0,50,Black,<=50K
Self-emp-not-inc,157473,edu2,Married,Craft-repair,Male,0,0,40,White,<=50K
Local-gov,357954,edu3,Single,Tech-support,Male,0,0,20,White,<=50K
Private,216129,edu3,Single,Exec-managerial,Female,0,0,35,Black,<=50K
Private,159383,edu2,Single,Sales,Female,0,0,40,White,<=50K
Private,119411,edu3,Single,Prof-specialty,Male,0,0,40,White,<=50K
Private,247445,edu2,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,89598,edu3,Married,Exec-managerial,Female,0,2057,35,White,<=50K
Local-gov,190027,edu2,Single,Other-service,Female,0,0,40,Black,<=50K
Private,176992,edu1,Single,Craft-repair,Male,0,0,40,White,<=50K
Private,183597,edu3,Single,Prof-specialty,Male,594,0,50,White,<=50K
Private,150600,edu2,Married,Sales,Male,0,0,35,White,<=50K
Private,32763,edu1,Single,Other-service,Male,0,0,15,White,<=50K
Private,180899,edu3,Single,Exec-managerial,Male,0,1755,45,White,>50K
Self-emp-inc,100029,edu3,Married,Prof-specialty,Male,15024,0,40,White,>50K
Private,236543,edu1,Single,Protective-serv,Male,0,0,54,White,<=50K
Private,65171,edu2,Married,Tech-support,Male,0,0,70,White,<=50K
Private,250647,edu3,Married,Craft-repair,Male,0,0,40,White,<=50K
Self-emp-inc,362835,edu3,Married,Exec-managerial,Male,0,0,50,White,>50K
Private,165937,edu2,Married,Craft-repair,Male,0,0,40,White,>50K
Local-gov,382078,edu3,Married,Exec-managerial,Male,3103,0,50,White,>50K
Self-emp-not-inc,60269,edu3,Married,Sales,Male,0,0,40,White,>50K
Private,261241,edu2,Single,Transport-moving,Male,0,1741,60,White,<=50K
Private,24562,edu3,Single,Other-service,Female,0,0,40,Other,<=50K
Private,164379,edu3,Single,Sales,Female,0,0,35,Black,>50K
Private,118462,edu2,Single,Handlers-cleaners,Male,0,0,43,White,<=50K
Self-emp-not-inc,82628,edu2,Single,Exec-managerial,Male,2964,0,12,White,<=50K
Private,265038,edu2,Married,Transport-moving,Male,0,0,50,White,<=50K
Self-emp-not-inc,240562,edu3,Married,Prof-specialty,Male,99999,0,40,White,>50K
Local-gov,199343,edu2,Married,Adm-clerical,Male,0,0,38,White,<=50K
Self-emp-not-inc,124256,edu2,Married,Exec-managerial,Male,0,2149,35,White,<=50K
