year,marital,divorce,childs,age,educ,sex,race,relig,xmovie,pornlaw,hapmar
1996,married,ds_yes,3,37,14,male,black,protestant,x_yes,illegalillegal8,nottoohappy
2000,married,ds_no,2,52,12,male,white,protestant,x_no,illegal,nottoohappy
1983,married,ds_no,6,47,11,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1980,married,ds_no,2,22,12,female,black,protestant,x_no,illegal,nottoohappy
2018,married,ds_yes,3,36,12,female,white,protestant,x_no,illegal,nottoohappy
1998,married,ds_no,2,26,9,female,other,catholic,x_no,illegal,nottoohappy
2012,married,ds_no,6,41,9,female,white,protestant,x_no,illegal,nottoohappy
2006,married,ds_no,1,36,18,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1986,married,ds_no,6,66,12,female,white,catholic,x_no,illegal,nottoohappy
1998,married,ds_yes,4,52,11,male,black,protestant,x_no,illegal,nottoohappy
1980,married,ds_no,3,57,11,female,white,catholic,x_yes,illegalillegal8,nottoohappy
1987,married,ds_yes,3,25,13,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1980,married,ds_no,2,32,16,female,black,catholic,x_no,illegal,nottoohappy
2010,married,ds_no,2,45,14,male,white,none,x_yes,illegalillegal8,nottoohappy
1986,married,ds_no,1,25,11,male,black,protestant,x_no,illegalillegal8,nottoohappy
2016,married,ds_yes,5,51,12,female,black,protestant,x_no,illegal,nottoohappy
1980,married,ds_no,0,22,12,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2000,married,ds_no,2,63,8,female,white,protestant,x_no,illegal,nottoohappy
2000,married,ds_no,2,79,12,female,white,catholic,x_no,illegal,nottoohappy
2006,married,ds_no,6,41,16,male,other,catholic,x_no,illegal,nottoohappy
1978,married,ds_yes,2,33,12,female,white,protestant,x_no,illegal,nottoohappy
1978,married,ds_no,1,35,12,female,white,protestant,x_yes,illegalillegal8,nottoohappy
1973,married,ds_no,7,52,1,female,black,protestant,x_no,dontknow,nottoohappy
1975,married,ds_yes,0,65,12,female,white,protestant,x_no,illegal,nottoohappy
2016,married,ds_yes,8,47,12,male,black,protestant,x_yes,illegalillegal8,nottoohappy
1980,married,ds_yes,7,34,8,female,white,catholic,x_no,illegalillegal8,nottoohappy
2002,married,ds_no,0,99,17,female,white,protestant,x_no,illegal,nottoohappy
1991,married,ds_yes,4,50,15,male,white,protestant,x_yes,illegalillegal8,nottoohappy
2014,married,ds_no,4,55,9,male,white,catholic,x_no,illegalillegal8,nottoohappy
1986,married,ds_no,2,61,12,female,white,protestant,x_no,illegal,nottoohappy
2008,married,ds_yes,3,61,10,male,white,catholic,x_yes,illegalillegal8,nottoohappy
1994,married,ds_yes,3,47,14,female,black,protestant,x_no,illegal,nottoohappy
1986,married,ds_no,5,56,12,female,white,protestant,x_yes,illegal,nottoohappy
1975,married,ds_no,6,63,11,male,white,none,x_no,illegal,prettyhappy
1990,married,ds_no,2,34,16,female,white,protestant,x_no,illegal,prettyhappy
1973,married,ds_no,3,30,16,male,white,catholic,x_no,illegalillegal8,prettyhappy
2018,married,ds_yes,1,62,12,female,white,protestant,x_no,illegalillegal8,prettyhappy
1989,married,ds_no,4,31,13,female,white,catholic,x_no,illegalillegal8,prettyhappy
2014,married,ds_no,3,51,11,male,other,catholic,x_no,illegalillegal8,prettyhappy
2014,married,ds_yes,2,70,16,male,white,protestant,x_no,illegal,prettyhappy
1988,married,ds_no,7,55,6,female,other,protestant,x_no,illegal,prettyhappy
2014,married,ds_no,1,55,15,female,white,protestant,x_no,illegalillegal8,prettyhappy
1996,married,ds_no,3,40,12,female,white,protestant,x_no,illegalillegal8,prettyhappy
1986,married,ds_no,0,23,12,male,white,none,x_yes,legal,prettyhappy
2008,married,ds_no,4,34,15,female,white,protestant,x_yes,illegalillegal8,prettyhappy
1976,married,ds_no,2,77,10,female,white,catholic,x_no,illegal,prettyhappy
1990,married,ds_no,1,62,9,male,white,catholic,x_no,illegal,prettyhappy
2002,married,ds_yes,2,36,12,female,white,protestant,x_no,illegalillegal8,prettyhappy
2016,married,ds_no,2,71,18,male,white,catholic,x_yes,illegalillegal8,prettyhappy
1986,married,ds_no,3,43,8,male,black,catholic,x_no,illegalillegal8,prettyhappy
1984,married,ds_no,4,32,12,female,other,catholic,x_no,illegal,prettyhappy
1994,married,ds_no,2,48,14,female,white,protestant,x_no,illegal,prettyhappy
1976,married,ds_no,2,28,14,male,white,protestant,x_no,illegalillegal8,prettyhappy
1988,married,ds_no,2,76,17,male,white,other,x_no,illegalillegal8,prettyhappy
1978,married,ds_no,4,44,19,male,white,protestant,x_yes,illegalillegal8,prettyhappy
1973,married,ds_no,2,45,12,male,black,protestant,x_no,dontknow,prettyhappy
1996,married,ds_no,3,62,20,male,white,protestant,x_no,illegalillegal8,prettyhappy
1996,married,ds_no,2,23,12,male,white,other,x_yes,illegal,prettyhappy
1986,married,ds_no,1,27,14,male,white,protestant,x_no,illegalillegal8,prettyhappy
2010,married,ds_yes,4,32,15,female,white,catholic,x_yes,illegalillegal8,prettyhappy
2002,married,ds_yes,2,70,10,male,white,protestant,x_no,legal,prettyhappy
1998,married,ds_no,3,28,12,female,other,catholic,x_no,illegalillegal8,prettyhappy
1990,married,ds_no,0,21,14,female,white,protestant,x_no,illegalillegal8,prettyhappy
1998,married,ds_yes,3,55,11,male,white,none,x_no,illegalillegal8,prettyhappy
2014,married,ds_yes,4,63,11,male,white,protestant,x_no,illegal,prettyhappy
2018,married,ds_yes,1,36,16,female,black,protestant,x_no,illegalillegal8,prettyhappy
2006,married,ds_yes,3,57,12,female,white,protestant,x_no,illegalillegal8,prettyhappy
1973,married,ds_no,1,59,16,female,white,protestant,x_no,illegal,prettyhappy
2014,married,ds_yes,4,76,12,female,white,protestant,x_no,illegal,prettyhappy
1980,married,ds_no,5,45,14,female,black,protestant,x_no,illegalillegal8,prettyhappy
1989,married,ds_no,1,35,15,female,white,catholic,x_no,illegalillegal8,prettyhappy
2006,married,ds_no,2,34,14,male,white,protestant,x_no,illegal,prettyhappy
1993,married,ds_no,3,65,12,male,white,protestant,x_no,dontknow,prettyhappy
1996,married,ds_no,2,30,13,male,white,protestant,x_yes,illegalillegal8,prettyhappy
1994,married,ds_no,1,26,17,female,white,protestant,x_no,illegalillegal8,prettyhappy
1980,married,ds_no,2,38,13,female,white,protestant,x_yes,illegalillegal8,prettyhappy
1986,married,ds_no,3,41,12,male,black,protestant,x_yes,illegalillegal8,prettyhappy
2004,married,ds_yes,6,68,20,male,black,protestant,x_no,illegalillegal8,prettyhappy
1973,married,ds_no,3,51,17,female,white,protestant,x_no,illegal,prettyhappy
1976,married,ds_no,1,57,11,female,white,protestant,x_no,illegalillegal8,prettyhappy
1998,married,ds_no,3,60,14,female,black,protestant,x_no,illegal,prettyhappy
1996,married,ds_no,3,70,16,female,white,protestant,x_no,illegalillegal8,prettyhappy
1994,married,ds_yes,2,55,12,female,white,protestant,x_no,illegalillegal8,prettyhappy
1973,married,ds_no,3,33,14,male,white,catholic,x_no,illegalillegal8,prettyhappy
2010,married,ds_yes,3,64,16,male,white,jewish,x_no,illegalillegal8,prettyhappy
2006,married,ds_no,3,36,12,female,other,catholic,x_no,illegalillegal8,prettyhappy
1993,married,ds_no,4,69,16,male,white,protestant,x_no,illegal,prettyhappy
1989,married,ds_no,2,51,14,female,white,protestant,x_no,illegalillegal8,prettyhappy
1984,married,ds_no,2,36,17,female,white,protestant,x_no,illegalillegal8,prettyhappy
1993,married,ds_no,2,46,14,male,white,protestant,x_yes,illegalillegal8,prettyhappy
2004,married,ds_no,0,44,16,female,white,protestant,x_no,illegal,prettyhappy
1983,married,ds_no,2,24,12,male,white,protestant,x_yes,illegal,prettyhappy
1976,married,ds_no,3,69,4,female,white,protestant,x_no,illegal,prettyhappy
1988,married,ds_yes,4,49,12,female,black,protestant,x_no,legal,prettyhappy
1998,married,ds_no,3,46,10,male,black,protestant,x_no,illegalillegal8,prettyhappy
1984,married,ds_no,0,29,17,female,white,catholic,x_no,illegalillegal8,prettyhappy
1994,married,ds_no,3,31,12,female,black,protestant,x_no,illegalillegal8,prettyhappy
2002,married,ds_yes,3,60,13,male,white,catholic,x_no,illegalillegal8,prettyhappy
2000,married,ds_no,4,71,12,male,black,protestant,x_no,illegalillegal8,prettyhappy
1994,married,ds_no,1,59,12,female,white,catholic,x_no,illegalillegal8,prettyhappy
1984,married,ds_no,0,22,11,male,black,protestant,x_yes,illegalillegal8,prettyhappy
2010,married,ds_no,3,55,6,female,white,protestant,x_no,illegal,prettyhappy
1991,married,ds_no,3,62,8,female,white,protestant,x_no,illegal,prettyhappy
2018,married,ds_no,1,40,14,female,white,catholic,x_yes,illegalillegal8,prettyhappy
1976,married,ds_no,3,29,10,male,white,catholic,x_yes,legal,prettyhappy
2004,married,ds_yes,4,34,12,female,white,protestant,x_no,illegal,prettyhappy
1986,married,ds_no,3,25,14,male,white,protestant,x_yes,illegalillegal8,prettyhappy
1994,married,ds_no,4,54,12,male,white,protestant,x_no,illegalillegal8,prettyhappy
1998,married,ds_yes,4,40,9,male,white,protestant,x_no,illegal,prettyhappy
2004,married,ds_no,2,32,14,female,white,none,x_no,illegalillegal8,prettyhappy
1986,married,ds_yes,4,32,10,female,white,protestant,x_no,illegal,prettyhappy
1993,married,ds_no,0,66,18,male,white,catholic,x_no,illegalillegal8,prettyhappy
2008,married,ds_yes,2,40,13,female,black,none,x_no,illegal,prettyhappy
1986,married,ds_no,4,49,7,male,other,catholic,x_no,illegal,prettyhappy
1973,married,ds_no,3,31,9,male,white,protestant,x_no,illegal,prettyhappy
2018,married,ds_no,6,35,12,male,black,none,x_yes,illegalillegal8,prettyhappy
2018,married,ds_no,3,42,9,female,white,protestant,x_no,illegal,prettyhappy
1984,married,ds_no,1,28,12,female,black,protestant,x_no,illegalillegal8,prettyhappy
1983,married,ds_no,2,26,12,female,white,protestant,x_no,illegal,prettyhappy
1973,married,ds_no,1,29,14,male,white,none,x_no,illegalillegal8,prettyhappy
2016,married,ds_no,3,47,6,male,black,catholic,x_yes,illegalillegal8,prettyhappy
2014,married,ds_no,2,31,16,female,white,none,x_no,illegalillegal8,prettyhappy
1990,married,ds_no,3,43,12,female,white,protestant,x_no,illegal,prettyhappy
1986,married,ds_no,3,65,16,male,white,protestant,x_no,illegalillegal8,prettyhappy
2006,married,ds_no,4,53,12,female,black,none,x_no,illegal,prettyhappy
2014,married,ds_yes,2,61,14,female,white,protestant,x_no,illegal,prettyhappy
2000,married,ds_no,2,28,13,male,white,catholic,x_yes,illegalillegal8,prettyhappy
1975,married,ds_no,5,56,7,male,white,protestant,x_no,illegalillegal8,prettyhappy
1990,married,ds_no,2,28,16,female,white,protestant,x_no,illegal,prettyhappy
1978,married,ds_no,2,65,13,female,white,catholic,x_no,legal,prettyhappy
1986,married,ds_no,2,32,12,female,black,protestant,x_yes,illegalillegal8,prettyhappy
2014,married,ds_no,0,58,16,male,white,catholic,x_no,illegal,prettyhappy
2016,married,ds_no,0,33,18,male,white,none,x_yes,illegalillegal8,prettyhappy
2014,married,ds_yes,4,79,12,female,white,protestant,x_no,illegal,prettyhappy
1994,married,ds_no,3,44,16,male,white,protestant,x_yes,illegalillegal8,prettyhappy
2006,married,ds_no,1,48,13,female,white,protestant,x_no,illegalillegal8,prettyhappy
2006,married,ds_no,5,69,10,male,other,catholic,x_no,illegal,prettyhappy
1976,married,ds_no,3,41,10,male,white,catholic,x_no,illegalillegal8,prettyhappy
1984,married,ds_no,1,56,17,female,black,protestant,x_yes,illegalillegal8,prettyhappy
1975,married,ds_no,3,56,12,female,white,catholic,x_no,illegal,prettyhappy
2014,married,ds_no,4,52,12,female,white,christian,x_yes,illegal,prettyhappy
1998,married,ds_no,2,23,12,female,white,protestant,x_yes,illegalillegal8,prettyhappy
1998,married,ds_no,3,42,16,male,white,catholic,x_no,illegalillegal8,prettyhappy
1975,married,ds_no,1,51,16,male,black,protestant,x_no,legal,prettyhappy
2004,married,ds_no,2,67,13,female,white,catholic,x_no,illegal,prettyhappy
1998,married,ds_no,1,34,16,male,white,catholic,x_yes,illegalillegal8,prettyhappy
2008,married,ds_yes,2,61,20,male,white,none,x_no,illegalillegal8,prettyhappy
1998,married,ds_no,3,72,12,female,white,protestant,x_no,illegal,prettyhappy
2012,married,ds_no,2,36,20,female,white,protestant,x_no,illegal,prettyhappy
2016,married,ds_no,3,60,12,female,other,protestant,x_no,illegal,prettyhappy
2010,married,ds_yes,3,35,14,female,white,protestant,x_no,illegalillegal8,prettyhappy
1983,married,ds_no,2,29,14,male,white,none,x_yes,illegalillegal8,prettyhappy
1978,married,ds_no,4,40,12,female,black,protestant,x_yes,illegalillegal8,prettyhappy
2006,married,ds_no,2,47,15,male,white,protestant,x_no,illegalillegal8,prettyhappy
2018,married,ds_no,2,41,16,female,white,protestant,x_no,illegal,prettyhappy
2002,married,ds_no,2,56,18,female,white,protestant,x_no,illegal,prettyhappy
1990,married,ds_yes,3,32,9,female,white,protestant,x_yes,illegalillegal8,prettyhappy
2000,married,ds_yes,2,53,17,female,white,protestant,x_no,illegalillegal8,prettyhappy
2014,married,ds_no,1,60,20,female,black,protestant,x_no,illegalillegal8,prettyhappy
1988,married,ds_no,5,66,17,male,white,protestant,x_no,illegal,prettyhappy
2006,married,ds_no,2,35,13,male,white,catholic,x_no,illegalillegal8,prettyhappy
1975,married,ds_no,3,29,12,male,white,protestant,x_no,illegalillegal8,prettyhappy
2010,married,ds_no,5,75,11,male,black,protestant,x_no,dontknow,prettyhappy
1973,married,ds_no,2,49,13,female,white,protestant,x_no,illegal,prettyhappy
1973,married,ds_no,2,32,8,female,white,catholic,x_yes,illegalillegal8,prettyhappy
1978,married,ds_no,2,35,12,male,white,catholic,x_no,illegalillegal8,prettyhappy
2016,married,ds_yes,0,28,16,female,white,catholic,x_no,illegalillegal8,prettyhappy
1975,married,ds_yes,3,36,8,female,white,protestant,x_no,illegal,prettyhappy
1976,married,ds_no,0,49,5,female,white,protestant,x_no,illegal,prettyhappy
2018,married,ds_no,0,32,16,female,white,protestant,x_no,illegal,prettyhappy
1984,married,ds_no,3,52,12,male,white,protestant,x_yes,illegal,prettyhappy
1984,married,ds_no,2,60,20,male,white,protestant,x_no,legal,prettyhappy
2006,married,ds_no,5,55,2,female,other,catholic,x_no,illegal,prettyhappy
1975,married,ds_yes,3,72,15,male,white,catholic,x_yes,illegal,prettyhappy
1976,married,ds_yes,5,34,12,female,white,catholic,x_no,illegal,prettyhappy
2004,married,ds_no,2,41,19,male,white,catholic,x_no,illegalillegal8,prettyhappy
2010,married,ds_no,2,30,14,female,white,catholic,x_no,illegalillegal8,prettyhappy
2014,married,ds_no,3,43,16,female,white,catholic,x_no,illegalillegal8,prettyhappy
2018,married,ds_yes,4,50,13,female,white,protestant,x_no,illegalillegal8,prettyhappy
1976,married,ds_no,1,36,13,male,white,protestant,x_yes,legal,prettyhappy
1978,married,ds_yes,5,31,12,male,white,protestant,x_no,illegalillegal8,prettyhappy
2012,married,ds_no,2,56,18,male,white,protestant,x_no,illegalillegal8,prettyhappy
2006,married,ds_yes,0,44,12,female,white,protestant,x_no,illegal,prettyhappy
2018,married,ds_no,2,50,14,female,white,catholic,x_no,illegalillegal8,prettyhappy
2002,married,ds_no,0,24,12,female,white,none,x_no,illegalillegal8,prettyhappy
1996,married,ds_yes,4,58,13,female,white,catholic,x_yes,illegalillegal8,prettyhappy
2006,married,ds_yes,2,49,12,female,white,protestant,x_no,illegal,prettyhappy
1980,married,ds_no,1,37,12,male,white,protestant,x_yes,illegalillegal8,prettyhappy
1986,married,ds_no,3,63,14,male,white,catholic,x_no,legal,prettyhappy
2008,married,ds_no,0,31,16,female,white,protestant,x_yes,illegal,prettyhappy
1976,married,ds_no,2,44,12,female,white,protestant,x_no,illegal,prettyhappy
2018,married,ds_yes,3,39,12,female,white,protestant,x_no,illegal,prettyhappy
1988,married,ds_no,2,31,12,male,white,protestant,x_no,illegalillegal8,prettyhappy
1990,married,ds_no,2,42,12,female,white,protestant,x_no,illegal,prettyhappy
1996,married,ds_no,1,29,15,male,white,catholic,x_yes,legal,prettyhappy
1989,married,ds_no,2,70,13,female,white,protestant,x_no,illegalillegal8,prettyhappy
2008,married,ds_no,2,42,16,female,white,catholic,x_no,illegal,prettyhappy
1973,married,ds_yes,2,22,12,female,white,protestant,x_yes,illegalillegal8,prettyhappy
1991,married,ds_no,1,27,11,female,white,protestant,x_no,illegalillegal8,prettyhappy
1976,married,ds_no,1,26,13,female,white,protestant,x_no,illegal,prettyhappy
2000,married,ds_no,2,23,13,female,white,none,x_no,illegal,prettyhappy
2012,married,ds_no,4,59,8,female,white,protestant,x_no,illegal,prettyhappy
2002,married,ds_no,3,51,18,male,other,catholic,x_no,illegalillegal8,prettyhappy
1998,married,ds_yes,6,46,9,male,white,protestant,x_no,illegalillegal8,prettyhappy
1983,married,ds_no,3,66,12,female,white,catholic,x_no,illegalillegal8,prettyhappy
2010,married,ds_no,1,60,15,male,white,none,x_no,illegalillegal8,prettyhappy
1984,married,ds_no,4,34,12,male,white,catholic,x_yes,illegalillegal8,prettyhappy
1978,married,ds_yes,3,70,12,female,white,protestant,x_no,illegal,prettyhappy
2012,married,ds_no,0,47,18,female,black,protestant,x_no,illegalillegal8,prettyhappy
1991,married,ds_no,3,51,12,male,white,protestant,x_no,illegalillegal8,prettyhappy
1998,married,ds_no,3,66,12,female,white,catholic,x_no,illegal,prettyhappy
2000,married,ds_no,3,65,16,male,white,protestant,x_yes,illegalillegal8,prettyhappy
2006,married,ds_no,1,37,12,male,white,catholic,x_no,dontknow,prettyhappy
1975,married,ds_no,1,37,10,female,black,none,x_no,illegalillegal8,prettyhappy
2008,married,ds_no,8,80,8,female,white,protestant,x_no,illegal,prettyhappy
1998,married,ds_no,0,44,14,female,white,protestant,x_no,illegal,prettyhappy
1987,married,ds_no,2,48,13,female,white,protestant,x_no,illegalillegal8,prettyhappy
2000,married,ds_no,2,45,12,male,white,protestant,x_no,illegalillegal8,prettyhappy
2014,married,ds_no,0,45,20,male,white,catholic,x_no,illegalillegal8,prettyhappy
2008,married,ds_no,2,59,12,male,white,catholic,x_no,illegalillegal8,prettyhappy
1976,married,ds_no,3,40,12,male,white,protestant,x_yes,illegalillegal8,prettyhappy
1980,married,ds_no,2,36,12,female,white,protestant,x_yes,illegal,prettyhappy
1975,married,ds_no,3,56,12,male,white,protestant,x_no,legal,prettyhappy
1976,married,ds_yes,2,39,8,male,white,none,x_no,illegal,prettyhappy
2012,married,ds_no,3,67,12,male,white,protestant,x_yes,illegalillegal8,prettyhappy
